,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
2953,Bondi Beach,151.2712488,-33.89811614,90.0,114,1,500,149,4,1.0,2.0,2.0,Apartment,Entire home/apt,325,0,0,strict_14_with_grace_period,148
3329,Riverwood,151.0631108,-33.94639213,93.0,14,1,150,40,3,1.0,1.0,1.0,Villa,Private room,340,0,0,moderate,59
3502,Rose Bay,151.2738141,-33.87392422,93.41241287,0,7,1000,250,4,1.0,2.0,4.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
8375,Cremorne Point,151.2266762,-33.83909577,95.0,19,2,300,75,2,1.0,0.0,1.0,Apartment,Entire home/apt,337,1,1,strict_14_with_grace_period,115
8698,Milperra,150.988737,-33.93939311,100.0,3,5,300,100,1,1.0,1.0,1.0,House,Private room,89,1,0,moderate,30
998,Pyrmont,151.1965246,-33.87181811,93.41241287,0,4,800,200,6,2.0,3.0,3.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,1000
9455,Cremorne,151.2273233,-33.83591353,90.0,5,2,0,30,2,2.0,1.0,1.0,House,Private room,0,1,0,moderate,70
6610,Ermington,151.0653806,-33.80033289,98.0,9,2,0,35,3,2.0,1.0,2.0,House,Private room,149,0,0,moderate,55
756,Waterloo,151.2083169,-33.89948299,93.41241287,0,3,200,150,4,2.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,flexible,200
2009,Potts Point,151.2234644,-33.86684997,93.0,12,2,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,63,1,0,moderate,130
7554,Surry Hills,151.2081915,-33.88836934,93.0,11,5,250,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,43,1,0,strict_14_with_grace_period,90
7228,Drummoyne,151.1481347,-33.85708642,93.41241287,0,2,1000,150,4,2.0,3.0,3.0,House,Entire home/apt,0,0,0,flexible,221
4381,Edmondson Park,150.8573381,-33.95509122,95.0,20,2,400,0,6,1.5,2.0,4.0,House,Entire home/apt,149,0,0,strict_14_with_grace_period,200
2981,Chatswood,151.1775971,-33.79572649,88.0,19,3,200,80,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,115
9191,Bondi,151.2596325,-33.89039885,93.0,9,3,1000,80,3,1.0,2.0,2.0,Apartment,Entire home/apt,363,0,0,strict_14_with_grace_period,150
2391,Glebe,151.1792597,-33.87743378,96.0,71,4,0,200,6,2.5,3.0,3.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,350
2613,Bondi,151.2640213,-33.89359177,91.0,28,2,250,260,6,2.0,3.0,4.0,Apartment,Entire home/apt,104,0,0,moderate,135
6077,Redfern,151.2140893,-33.89700018,100.0,1,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,moderate,95
8048,Whale Beach,151.3301801,-33.60759852,93.41241287,0,2,2000,350,10,3.5,4.0,9.0,House,Private room,80,0,0,strict_14_with_grace_period,1500
6866,Randwick,151.2475536,-33.90371277,100.0,5,1,1000,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,moderate,74
1003,Rushcutters Bay,151.2260976,-33.87465587,93.41241287,0,3,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,flexible,74
123,Kirribilli,151.2118797,-33.84528055,100.0,3,3,0,0,2,1.0,1.0,2.0,Apartment,Private room,88,0,0,flexible,80
3057,Coogee,151.255899,-33.91751976,100.0,2,5,700,200,2,1.0,1.0,1.0,Apartment,Entire home/apt,365,1,0,strict_14_with_grace_period,175
3055,Bondi,151.2613989,-33.88953433,97.0,6,2,500,150,4,1.0,2.0,2.0,Apartment,Entire home/apt,21,0,0,strict_14_with_grace_period,210
6554,Bronte,151.2630549,-33.9068695,93.41241287,0,3,0,0,1,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,50
9648,Kogarah,151.1415949,-33.96297621,60.0,2,1,150,20,2,2.0,1.0,3.0,House,Private room,91,0,0,flexible,100
