city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
North Sydney,151.2089035,-33.83916971,100,1,1,300,50,1,1,1,1,Apartment,Private room,89,0,0,strict_14_with_grace_period,88
Sans Souci,151.131759,-34.00057693,100,14,5,400,160,8,2,3,3,House,Entire home/apt,178,1,0,strict_14_with_grace_period,451
Burwood,151.1008661,-33.87772674,94,10,1,0,35,2,1,1,1,Apartment,Private room,0,1,0,moderate,74
Marrickville,151.154922,-33.91397874,90,6,4,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,76
Ultimo,151.1962928,-33.8784259,93.41241287,1,1,0,0,2,1,0,1,Apartment,Private room,0,0,0,moderate,50
Sydney,151.2036679,-33.86903554,93.41241287,0,4,130,35,2,1,1,1,Apartment,Private room,0,1,0,strict_14_with_grace_period,80
Bronte,151.2590541,-33.90126772,80,7,2,0,30,2,1,1,1,Apartment,Private room,0,0,0,moderate,70
Fairfield,150.9540178,-33.8761803,97,7,2,0,0,2,1,1,1,House,Private room,173,0,0,flexible,55
Bondi Beach,151.2780404,-33.88768287,100,2,14,0,0,2,2,1,1,Apartment,Private room,26,0,0,moderate,98
Harris Park,151.013519,-33.82394305,80,1,1,150,20,2,1,1,1,Apartment,Private room,179,0,0,strict_14_with_grace_period,70
Erskineville,151.1823193,-33.90372125,97,50,1,150,50,2,1,1,1,Apartment,Entire home/apt,147,0,1,flexible,115
Crows Nest,151.2073398,-33.82928223,91,16,2,0,0,2,1,1,1,Apartment,Private room,360,0,0,flexible,107
Potts Point,151.2237907,-33.87288872,98,11,2,500,80,2,1,1,1,Apartment,Entire home/apt,34,0,1,moderate,144
Mosman,151.2386775,-33.82472452,98,50,2,0,15,2,1,1,1,Apartment,Private room,330,0,1,moderate,85
Haymarket,151.2085435,-33.87996339,93.41241287,0,7,200,8,2,1,1,1,Apartment,Private room,0,0,0,moderate,89
Alexandria,151.1937079,-33.89869019,93.41241287,0,3,0,20,2,1,1,1,House,Entire home/apt,0,1,0,strict_14_with_grace_period,120
Dover Heights,151.2783086,-33.86586447,100,7,1,0,40,1,1,1,1,Apartment,Private room,178,1,0,moderate,55
Redfern,151.2142069,-33.89204046,93.41241287,1,7,250,65,4,1.5,2,3,House,Entire home/apt,0,1,0,flexible,319
Cromer,151.2747642,-33.73084024,100,7,5,500,100,8,2,4,5,House,Entire home/apt,183,1,0,moderate,299
Zetland,151.2087816,-33.90476798,85,4,5,500,50,2,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,91
Sydney,151.2045692,-33.87651355,93.41241287,0,3,300,30,2,1,1,2,Apartment,Private room,316,1,0,strict_14_with_grace_period,148
Woolloomooloo,151.2181694,-33.87037183,93.41241287,0,1,250,50,2,1,1,1,Apartment,Private room,0,0,0,flexible,101
Redfern,151.1981668,-33.89553848,93.41241287,0,20,0,0,2,1,1,1,Townhouse,Entire home/apt,0,0,0,flexible,68
Erskineville,151.1812356,-33.90538145,100,3,1,0,25,4,1,1,1,Apartment,Entire home/apt,0,1,0,moderate,98
Ultimo,151.1972705,-33.88117435,50,2,3,0,0,2,2,1,2,Apartment,Shared room,0,1,0,flexible,60
